P_bar,T_K,K_CO2,K_H2O
228.6206896551724,320.88235294117646,41.451471852770084,0.007096814867421205
228.6206896551724,322.94117647058823,41.80142055003881,0.007431723986679564
228.6206896551724,325.0,42.131925645759395,0.0077786840839027165
228.6206896551724,327.05882352941177,42.44344593048351,0.008138152327049928
228.6206896551724,329.11764705882354,42.73644292477808,0.008510629446402185
228.6206896551724,331.1764705882353,43.01137745018414,0.008896664014684249
228.6206896551724,333.2352941176471,43.26870636403273,0.009296856577721366
228.6206896551724,335.29411764705884,43.50887949698029,0.009711863493151932
228.6206896551724,337.3529411764706,43.732336834507976,0.010142400323436525
228.6206896551724,339.4117647058823,43.93950598466023,0.010589244626563445
228.6206896551724,341.47058823529414,44.130799973446855,0.011053237995728
228.6206896551724,343.52941176470586,44.30661540609555,0.011535287219483829
228.6206896551724,345.5882352941176,44.46733102641063,0.012036364466835398
228.6206896551724,347.6470588235294,44.613306697771556,0.01255750644634033
228.6206896551724,349.70588235294116,44.74488281805843,0.01309981254164226
228.6206896551724,351.7647058823529,44.86238016752478,0.013664441983558862
228.6206896551724,353.8235294117647,44.966100174272896,0.014252610175304024
228.6206896551724,355.88235294117646,45.056325567565445,0.014865584336783156
228.6206896551724,357.94117647058823,45.133321375938046,0.015504678670788691
228.6206896551724,360.0,45.19733621601698,0.016171249274529054
234.13793103448276,290.0,33.5143136224611,0.003305917842019739
234.13793103448276,292.05882352941177,34.19302335597976,0.0034978234930203808
234.13793103448276,294.11764705882354,34.84808295861438,0.0036978142131103495
234.13793103448276,296.1764705882353,35.4794734911814,0.00390609472651115
234.13793103448276,298.2352941176471,36.08723017293998,0.0041228737625036245
234.13793103448276,300.29411764705884,36.67143992887662,0.004348364906818151
234.13793103448276,302.3529411764706,37.232238642038304,0.004582787682301589
234.13793103448276,304.4117647058824,37.76980816622855,0.004826368778733769
234.13793103448276,306.47058823529414,38.28437314278906,0.005079343497228026
234.13793103448276,308.52941176470586,38.776197661571416,0.005341957414927823
234.13793103448276,310.5882352941176,39.24558180089163,0.005614468288461972
234.13793103448276,312.6470588235294,39.692858077297515,0.005897148210740303
234.13793103448276,314.70588235294116,40.11838783271312,0.006190286031905485
234.13793103448276,316.7647058823529,40.522557583752175,0.006494190057998348
234.13793103448276,318.8235294117647,40.90577535843575,0.006809190979148054
234.13793103448276,320.88235294117646,41.26846703844077,0.007135645126101412
234.13793103448276,322.94117647058823,41.61107273472291,0.007473937892449363
234.13793103448276,325.0,41.93404321545028,0.007824487386179297
234.13793103448276,327.05882352941177,42.2378364118697,0.008187748220171775
234.13793103448276,329.11764705882354,42.52291402773221,0.008564215378864449
234.13793103448276,331.1764705882353,42.78973828027,0.008954428074970223
234.13793103448276,333.2352941176471,43.03876880293477,0.009358973493776561
234.13793103448276,335.29411764705884,43.27045974212337,0.009778490308693167
234.13793103448276,337.3529411764706,43.48525708155367,0.010213671842141536
234.13793103448276,339.4117647058823,43.68359622838653,0.010665268742561655
234.13793103448276,341.47058823529414,43.865899894238545,0.011134091052961662
234.13793103448276,343.52941176470586,44.03257630152629,0.011621009560362851
234.13793103448276,345.5882352941176,44.18401774088951,0.012126956339141761
234.13793103448276,347.6470588235294,44.320599498668074,0.012652924434127969
234.13793103448276,349.70588235294116,44.442679164745215,0.01319996666952629
234.13793103448276,351.7647058823529,44.55059632080308,0.013769193614420855
234.13793103448276,353.8235294117647,44.64467259785288,0.014361770780863899
234.13793103448276,355.88235294117646,44.725212080478364,0.014978915172102328
234.13793103448276,357.94117647058823,44.79250202448802,0.01562189133221246
234.13793103448276,360.0,44.84681384537175,0.01629200707094523
239.6551724137931,290.0,33.42195244386343,0.00331478397726121
239.6551724137931,292.05882352941177,34.09591016881868,0.0035076655072268036
239.6551724137931,294.11764705882354,34.7460868199648,0.0037087255688560273
239.6551724137931,296.1764705882353,35.372460918335044,0.003918176207722526
239.6551724137931,298.2352941176471,35.97506496869178,0.0041362337783678055
239.6551724137931,300.29411764705884,36.55398301642708,0.0043631197987478105
239.6551724137931,302.3529411764706,37.10934791777961,0.004599061949790636
239.6551724137931,304.4117647058824,37.64133837567404,0.004844295247243091
239.6551724137931,306.47058823529414,38.15017578756096,0.005099063394904977
239.6551724137931,308.52941176470586,38.63612094570354,0.005363620336803464
239.6551724137931,310.5882352941176,39.099470625623574,0.005638232021969163
239.6551724137931,312.6470588235294,39.54055409435618,0.0059231783935687465
239.6551724137931,314.70588235294116,39.95972956681028,0.006218755610785265
239.6551724137931,316.7647058823529,40.35738063559262,0.006525278515417458
239.6551724137931,318.8235294117647,40.733912699877905,0.006843083293693041
239.6551724137931,320.88235294117646,41.08974941138339,0.007172530434460588
239.6551724137931,322.94117647058823,41.42532916485788,0.007514007822222841
239.6551724137931,325.0,41.74110165091606,0.007867934035110867
239.6551724137931,327.05882352941177,42.037524495080014,0.008234761765215148
239.6551724137931,329.11764705882354,42.315060006067924,0.008614981309996685
239.6551724137931,331.1764705882353,42.574172057859705,0.009009124063414893
239.6551724137931,333.2352941176471,42.81532313138351,0.009417765922204622
239.6551724137931,335.29411764705884,43.03897154284229,0.009841530511386165
239.6551724137931,337.3529411764706,43.24556888643409,0.010281092125014256
239.6551724137931,339.4117647058823,43.43555771920675,0.010737178274761859
239.6551724137931,341.47058823529414,43.60936951475071,0.011210571741564446
239.6551724137931,343.52941176470586,43.76742291009402,0.01170211203518886
239.6551724137931,345.5882352941176,43.910122266339656,0.01221269618375691
239.6551724137931,347.6470588235294,44.03785655821824,0.012743278799648554
239.6551724137931,349.70588235294116,44.15099860092241,0.013294871398738948
239.6551724137931,351.7647058823529,44.24990461454342,0.013868540984614812
239.6551724137931,353.8235294117647,44.334914117621196,0.01446540794555453
239.6551724137931,355.88235294117646,44.406350132222286,0.015086643346547735
239.6551724137931,357.94117647058823,44.46451967425845,0.0157334657283108
239.6551724137931,360.0,44.50971449500611,0.016407137547376466
245.17241379310346,290.0,33.33089937702185,0.0033232993314255737
