time,well_I1_BHP,well_I1_BHT,well_I1_perf_0_molar_rate_G,well_I1_perf_0_molar_rate_L,well_I1_molar_rate_G_by_sum_perfs,well_I1_molar_rate_L_by_sum_perfs,well_I1_molar_rate_G_at_wh,well_I1_molar_rate_L_at_wh,well_I1_perf_0_mass_rate_G,well_I1_perf_0_mass_rate_L,well_I1_mass_rate_G_by_sum_perfs,well_I1_mass_rate_L_by_sum_perfs,well_I1_mass_rate_G_at_wh,well_I1_mass_rate_L_at_wh,well_I1_perf_0_volumetric_rate_G,well_I1_perf_0_volumetric_rate_L,well_I1_volumetric_rate_G_by_sum_perfs,well_I1_volumetric_rate_L_by_sum_perfs,well_I1_volumetric_rate_G_at_wh,well_I1_volumetric_rate_L_at_wh,well_I1_perf_0_molar_rate_CO2,well_I1_perf_0_molar_rate_H2O,well_I1_molar_rate_CO2_by_sum_perfs,well_I1_molar_rate_H2O_by_sum_perfs,well_I1_molar_rate_CO2_at_wh,well_I1_molar_rate_H2O_at_wh,well_I1_perf_0_mass_rate_CO2,well_I1_perf_0_mass_rate_H2O,well_I1_mass_rate_CO2_by_sum_perfs,well_I1_mass_rate_H2O_by_sum_perfs,well_I1_mass_rate_CO2_at_wh,well_I1_mass_rate_H2O_at_wh,well_I1_perf_0_advective_heat_rate_G,well_I1_perf_0_advective_heat_rate_L,well_I1_advective_heat_rate_G_by_sum_perfs,well_I1_advective_heat_rate_L_by_sum_perfs,well_I1_advective_heat_rate_G_at_wh,well_I1_advective_heat_rate_L_at_wh
182.5,204.1973217942243,313.15000000000003,2272.2100677691424,0.0,2272.2100677691424,0.0,2272.2108595449113,0.0,99999.95858712035,0.0,99999.95858712035,0.0,99999.993433169,0.0,119.89383093691102,0.0,119.89383093691102,0.0,119.89831480575202,0.0,2272.2650830356797,0.0002513231494753555,2272.2650830356797,0.0002513231494753555,2272.2650729712454,0.00025132321760597287,100002.38630440026,0.00452758653779853,100002.38630440026,0.00452758653779853,100002.38586146451,0.004527587765171601,-23250646.799273502,0.0,-23250646.799273502,0.0,-23249499.689111672,0.0
192.5,204.2079159055372,313.15000000000003,2272.2100402620254,0.0,2272.2100402620254,0.0,2272.2108592329255,0.0,99999.95737653131,0.0,99999.95737653131,0.0,99999.99341943758,0.0,119.89183651491105,0.0,119.89183651491105,0.0,119.89638767643781,0.0,2272.265134138951,0.0002513230849183042,2272.265134138951,0.0002513230849183042,2272.265139523456,0.00025132315578675765,100002.38855345522,0.00452758537480325,100002.38855345522,0.00452758537480325,100002.3887904273,0.004527586651498439,-23250843.348968096,0.0,-23250843.348968096,0.0,-23249679.375541493,0.0
202.5,204.26986928248405,313.15000000000003,2272.209980960321,0.0,2272.209980960321,0.0,2272.210837353085,0.0,99999.95476665821,0.0,99999.95476665821,0.0,99999.99245650062,0.0,119.8805072557706,0.0,119.8805072557706,0.0,119.88511561380109,0.0,2272.265426889099,0.00025132271193892096,2272.265426889099,0.00025132271193892096,2272.2654598686013,0.0002513227866980504,100002.40143738923,0.004527578655579661,100002.40143738923,0.004527578655579661,100002.40288881713,0.0045275800023653785,-23251908.34447059,0.0,-23251908.34447059,0.0,-23250730.084003694,0.0
212.5,204.30288428789888,313.15000000000003,2272.2100035136373,0.0,2272.2100035136373,0.0,2272.2108536796923,0.0,99999.95575922677,0.0,99999.95575922677,0.0,99999.99317503173,0.0,119.8744490374017,0.0,119.8744490374017,0.0,119.8791092698929,0.0,2272.2656070769467,0.00025132251552363355,2272.2656070769467,0.00025132251552363355,2272.2656245262797,0.00025132258937189927,100002.40936745642,0.004527575117158259,100002.40936745642,0.004527575117158259,100002.41013540156,0.0045275764475347655,-23252482.436491814,0.0,-23252482.436491814,0.0,-23251290.380410545,0.0
222.5,204.26382933466041,313.15000000000003,2272.2100298897117,0.0,2272.2100298897117,0.0,2272.2108514333004,0.0,99999.9569200411,0.0,99999.9569200411,0.0,99999.99307617135,0.0,119.8815060825459,0.0,119.8815060825459,0.0,119.88621527817656,0.0,2272.265464432954,0.00025132275391339005,2272.265464432954,0.00025132275391339005,2272.2654442513744,0.0002513228244034895,100002.40308969431,0.0045275794117497214,100002.40308969431,0.0045275794117497214,100002.40220150298,0.004527580681628864,-23251832.98709987,0.0,-23251832.98709987,0.0,-23250627.76143783,0.0
232.5,204.24910452907955,313.15000000000003,2272.210017695904,0.0,2272.210017695904,0.0,2272.210859200943,0.0,99999.95638339287,0.0,99999.95638339287,0.0,99999.99341802656,0.0,119.88414374012197,0.0,119.88414374012197,0.0,119.8888946611541,0.0,2272.265383775394,0.0002513228404896046,2272.265383775394,0.0002513228404896046,2272.265376299216,0.00025132291302782034,100002.3995399551,0.004527580971420228,100002.3995399551,0.004527580971420228,100002.39921092849,0.004527582278196184,-23251593.53606057,0.0,-23251593.53606057,0.0,-23250378.04565292,0.0
242.5,204.2352761162385,313.15000000000003,2272.210010903784,0.0,2272.210010903784,0.0,2272.210859348335,0.0,99999.9560844729,0.0,99999.9560844729,0.0,99999.99342451445,0.0,119.88662285975539,0.0,119.88662285975539,0.0,119.89141043891075,0.0,2272.265308061887,0.00025132292183186903,2272.265308061887,0.00025132292183186903,2272.2653010494746,0.0002513229949972631,100002.39620780364,0.004527582436801121,100002.39620780364,0.004527582436801121,100002.39589918737,0.004527583754875694,-23251368.225174356,0.0,-23251368.225174356,0.0,-23250143.46943175,0.0
252.5,204.23667474091846,313.15000000000003,2272.209998463337,0.0,2272.209998463337,0.0,2272.2108599431444,0.0,99999.95553696874,0.0,99999.95553696874,0.0,99999.99345069188,0.0,119.88633650603724,0.0,119.88633650603724,0.0,119.89115602701303,0.0,2272.26530900575,0.0002513229123138224,2272.26530900575,0.0002513229123138224,2272.2653094587986,0.0002513229867935131,100002.39624934306,0.004527582265333512,100002.39624934306,0.004527582265333512,100002.39626928171,0.004527583607085139,-23251399.939702354,0.0,-23251399.939702354,0.0,-23250167.200551722,0.0
262.5,204.19019977355464,313.15000000000003,2272.210004957682,0.0,2272.210004957682,0.0,2272.2108474981947,0.0,99999.95582278882,0.0,99999.95582278882,0.0,99999.99290299363,0.0,119.8947593032845,0.0,119.8947593032845,0.0,119.89960965783756,0.0,2272.2650387948415,0.0002513231853884846,2272.2650387948415,0.0002513231853884846,2272.2650146044693,0.00025132325766007255,100002.38435736095,0.004527587184773549,100002.38435736095,0.004527587184773549,100002.3832927427,0.004527588486746207,-23250619.69043927,0.0,-23250619.69043927,0.0,-23249378.770792015,0.0
272.5,204.18655487885013,313.15000000000003,2272.2099910126635,0.0,2272.2099910126635,0.0,2272.2108597006686,0.0,99999.95520906892,0.0,99999.95520906892,0.0,99999.99344002476,0.0,119.89539731164578,0.0,119.89539731164578,0.0,119.90027329246762,0.0,2272.2650050424772,0.00025132320507654626,2272.2650050424772,0.00025132320507654626,2272.265002675845,0.0002513232801439091,100002.38287191941,0.004527587539453981,100002.38287191941,0.004527587539453981,100002.38276776393,0.0045275888917925226,-23250563.996396538,0.0,-23250563.996396538,0.0,-23249317.07645909,0.0
