# WELL TRACE FROM PETREL
# WELL NAME: DEL-GT-02-S2
# WELL HEAD X-COORDINATE: 85099.827 (m)
# WELL HEAD Y-COORDINATE: 446162.627 (m)
#====================================================
MD	X	Y	Z
539.4	85097.7936327879	446163.906739109	531.933131783124
553.3	85097.7241100293	446163.948802741	545.832893161214
559.15	85097.6987932956	446163.966799075	551.682810575964
565	85097.6746745346	446163.981002054	557.532743494152
573.05	85097.6437452094	446163.994186878	565.582672936512
581.1	85097.6156868788	446163.999872738	573.632621689664
584.3	85097.6060580215	446164.004735652	576.832602585581
587.5	85097.5983374632	446164.017784891	580.032565740635
598	85097.5864829652	446164.117952992	590.532048861263
608.5	85097.595324233	446164.305954439	601.030329397477
617.766666666667	85097.625541346	446164.555464518	610.293547286915
627.033333333333	85097.6823199657	446164.894629603	619.553790836704
636.3	85097.7656543041	446165.323415123	628.810116078138
645.566666666667	85097.8561102664	446165.832913071	638.062297686011
654.833333333333	85097.9342553569	446166.414221263	647.310356935027
664.1	85098.0000847289	446167.067303636	656.553720238576
673.366666666667	85098.0495109099	446167.79807639	665.791358099905
682.633333333333	85098.078446712	446168.612438464	675.022088663964
691.9	85098.0868896232	446169.510319154	684.245110480034
701.066666666667	85098.0858031494	446170.493618907	693.358825672737
710.233333333333	85098.0861127169	446171.584474438	702.460292113994
719.4	85098.0878182828	446172.782733567	711.548240161812
728.666666666667	85098.1029483087	446174.103487193	720.7202187717
737.933333333333	85098.1434767613	446175.534483943	729.875565822591
747.2	85098.2093974692	446177.075505893	739.012887085599
756.433333333333	85098.3178320996	446178.717872739	748.098246217069
765.666666666667	85098.4864595687	446180.464345438	757.163246533641
774.9	85098.7152504501	446182.314619217	766.206306113016
777.45	85098.7889992932	446182.844104125	768.69963009661
780	85098.8672645823	446183.381952876	771.191025237912
787.533333333333	85099.1248973726	446185.019112988	778.539734497855
795.066666666667	85099.4220030216	446186.727885935	785.870627168264
802.6	85099.7585448575	446188.508060798	793.182798393798
810.733333333333	85100.1571082781	446190.511472746	801.055369105772
818.866666666667	85100.5835227613	446192.600681334	808.904140654883
827	85101.0377321993	446194.775411657	816.728080292628
834.455	85101.4694847377	446196.767872587	823.89882891208
841.91	85101.906610315	446198.680167267	831.091049299516
845.855	85102.1400883654	446199.659545008	834.905385972349
849.8	85102.3750609987	446200.616284988	838.725372711863
856.6	85102.8057374148	446202.228200098	845.317459362381
863.4	85103.285131486	446203.804653329	851.914757576835
868.7	85103.6881856619	446205.03187389	857.054911616508
874	85104.112094833	446206.283795437	862.187424693029
875.55	85104.2400151132	446206.654604193	863.686963953013
877.1	85104.3697328884	446207.02755927	865.185816275152
883.9	85104.948549356	446208.686475111	871.754870161347
890.7	85105.5389325418	446210.381393344	878.31369497173
897.5	85106.1314472752	446212.113016072	884.862731243717
904.3	85106.7166582701	446213.882044049	891.402419339974
911.15	85107.2874352111	446215.711703119	897.97875956897
918	85107.8280733443	446217.598852986	904.541384306698
924.8	85108.3427097994	446219.523673899	911.042886350616
931.6	85108.8431701138	446221.494362834	917.531739853615
940.7	85109.5271373814	446224.225353877	926.185135057095
949.8	85110.2584545517	446227.08210115	934.793935733892
958.9	85111.0369445769	446230.063913042	943.356057735099
963.45	85111.4421845335	446231.600631419	947.619434765683
968	85111.8558759114	446233.16662773	951.871329599704
974.033333333333	85112.4173898341	446235.287988414	957.491364365507
980.066666666667	85112.9935945157	446237.460146707	963.090466789725
986.1	85113.5844387527	446239.682909571	968.668139314993
995.233333333333	85114.4936185871	446243.126230983	977.078403026724
1004.36666666667	85115.4101389679	446246.6498843	985.454523516334
1013.5	85116.3339155837	446250.253545366	993.795730254208
1022.6	85117.2564412012	446253.943124418	1002.06270089614
1031.7	85118.1759094752	446257.750843093	1010.27626290366
1040.8	85119.0921336398	446261.675927957	1018.43474789757
1049.86666666667	85120.0182684712	446265.699049387	1026.50678773038
1058.93333333333	85120.9741723621	446269.830065778	1034.52064429596
1068	85121.9596602528	446274.068177369	1042.47476613093
1077.1	85122.9793539717	446278.428511368	1050.3965045893
1086.2	85124.0305131608	446282.894612614	1058.25494663156
1095.3	85125.1129323752	446287.465608218	1066.04855634945
1104.4	85126.2158349774	446292.128325283	1073.78478097337
1113.5	85127.3285064516	446296.869853102	1081.47154101306
1122.6	85128.4508291741	446301.689690418	1089.1080238727
1136.25	85130.1547045224	446309.015700582	1100.49842699004
1149.9	85131.8849478911	446316.417021727	1111.83603948491
1163.65	85133.6440559111	446323.921424588	1123.22220353224
1177.4	85135.4090326312	446331.447907315	1134.59287312925
1177.5	85135.421890149	446331.502725584	1134.67551245353
1191.3	85137.2011047827	446339.070587831	1146.07702711946
1205.1	85138.9900727715	446346.644326981	1157.47311126396
1218.9	85140.7828452129	446354.22534142	1168.86375834111
1232.7	85142.5734735132	446361.815030851	1180.24896379096
1246.6	85144.3788277451	446369.470097345	1191.70946779057
1260.5	85146.1898414778	446377.137180799	1203.16104123708
1269.76666666667	85147.3921508757	446382.280779427	1210.7745288829
1279.03333333333	85148.5805788056	446387.480604063	1218.35191267874
